STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT08
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",04-02-2021,12.75,,0,,,72,47,220,200,28,36,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",05-02-2021,15.88,,0.12,,,66,50,350,340,28,33.1,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",06-02-2021,12.3,,0.08,,,56,51,60,70,19.9,23,1,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",07-02-2021,10.96,,0,,,59,49,340,340,25.1,29.1,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",08-02-2021,14.09,,0,,,66,50,100,100,21,27.1,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",09-02-2021,6.49,,0.08,,,72,58,280,150,19.9,28,1,1,,1
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",10-02-2021,8.28,,0,,,71,61,90,120,14.1,16.1,1,1,,1
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",11-02-2021,10.74,,2.12,,,77,53,320,320,28,33.1,1,1,1,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",12-02-2021,17.67,,1.09,,,56,45,50,50,30,33.1,1,,1,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",13-02-2021,19.24,,0,,,49,43,10,10,23.9,30,1,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",14-02-2021,15.43,,0,,,49,39,360,10,25.1,29.1,1,,,1
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",15-02-2021,21.03,,0.36,,,43,30,310,310,36,46.1,1,,,1
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",16-02-2021,12.08,,0,,,35,27,330,330,25.1,30,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",17-02-2021,19.24,,0.88,,,54,32,320,320,36.9,47,1,,1,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",18-02-2021,19.46,,0.19,,,49,38,350,330,28,33.1,1,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",19-02-2021,17,,0,,,51,35,340,320,25.9,32,,,,1
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",20-02-2021,8.72,,0,,,56,35,360,10,18.1,21,,,,1
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",21-02-2021,10.51,,0,,,65,44,100,110,19.9,23,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",22-02-2021,7.38,,0,,,67,49,350,350,14.1,15,1,1,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",23-02-2021,4.7,,0,,,70,46,140,150,12.1,14.1,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",24-02-2021,5.14,,0,,,74,50,190,200,10.1,13,1,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",25-02-2021,4.92,,0,,,72,57,150,160,14.1,16.1,1,1,,1
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",26-02-2021,8.95,,0,,,82,60,210,210,23,29.1,1,1,,1
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",27-02-2021,9.4,,0,,,83,,170,180,21.9,27.1,1,1,,1
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",28-02-2021,12.97,,0,,,85,71,180,170,25.9,31.1,1,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",01-03-2021,10.29,,0.02,,,76,60,30,40,23.9,30,1,1,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",02-03-2021,19.01,,1.02,,,62,48,40,40,30,34,1,,1,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",03-03-2021,10.74,,0,,,60,45,10,360,19.9,25.1,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",04-03-2021,7.16,,0,,,67,53,30,30,18.1,19,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",05-03-2021,6.71,,0.02,,,71,55,130,150,16.1,19,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",06-03-2021,14.32,,0,,,66,56,30,30,23.9,29.1,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",07-03-2021,11.86,,0,,,67,52,40,50,23,25.9,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",08-03-2021,9.17,,0,,,71,53,80,70,16.1,19,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",09-03-2021,10.51,,0,,,77,54,100,100,21,25.1,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",10-03-2021,14.32,,0,,,78,63,130,140,23,30,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",11-03-2021,11.18,,0,,,79,64,150,150,19.9,27.1,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",12-03-2021,8.5,,0,,,80,65,100,100,16.1,19.9,1,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",13-03-2021,7.83,,0,,,78,66,120,120,15,19,1,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",14-03-2021,10.74,,0,,,81,66,140,150,18.1,23,1,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",15-03-2021,11.63,,1.19,,,84,70,200,170,23,29.1,1,,1,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",16-03-2021,11.86,,0.01,,,83,72,210,220,23.9,28,1,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",17-03-2021,18.57,,1.19,,,83,67,250,220,38,45,1,,1,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",18-03-2021,23.04,,0,,,69,59,280,280,31.1,36,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",19-03-2021,18.12,,0,,,60,55,330,340,23.9,30,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",20-03-2021,10.96,,0,,,64,54,30,30,21,25.1,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",21-03-2021,8.72,,0,,,71,57,60,70,17,21,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",22-03-2021,11.41,,0,,,73,57,100,100,21.9,29.1,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",23-03-2021,16.78,,4.71,,,75,62,320,150,31.1,36.9,1,1,1,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",24-03-2021,12.97,,1.22,,,74,62,120,120,25.1,32,1,,1,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",25-03-2021,17.67,,0,,,80,73,200,210,33.1,40.9,1,,1,1
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",26-03-2021,8.5,,0.01,,,84,70,170,190,18.1,23,1,,,1
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",27-03-2021,13.42,,0,,,86,75,160,170,23,28,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",28-03-2021,15.21,,0.02,,,78,63,10,340,25.9,31.1,1,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",29-03-2021,14.09,,0,,,71,59,40,10,23.9,32,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",30-03-2021,11.18,,0.01,,,84,66,180,170,23,30,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",31-03-2021,15.66,,0.08,,,84,60,30,20,35.1,40.9,1,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",01-04-2021,25.5,,0,,,67,54,20,20,38.9,46.1,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",02-04-2021,12.3,,0,,,64,50,20,30,30,35.1,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",03-04-2021,8.5,,0,,,69,52,70,70,16.1,19,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",04-04-2021,7.16,,0,,,73,59,100,100,13,17,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",05-04-2021,6.26,,0,,,76,58,90,120,14.1,19,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",06-04-2021,10.29,,0.01,,,82,65,150,150,21.9,28,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",07-04-2021,13.87,,0,,,82,70,160,180,23,28,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",08-04-2021,9.4,,2.4,,,82,66,340,340,36.9,42.9,1,,1,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",09-04-2021,13.42,,0.04,,,87,74,200,150,23.9,30,1,,1,1
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",10-04-2021,11.41,,2.24,,,78,64,10,360,40.9,49,1,,1,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",11-04-2021,8.05,,0,,,79,68,10,10,23.9,27.1,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",12-04-2021,7.61,,0,,,83,65,100,90,16.1,21,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",13-04-2021,16.78,,1.67,,,79,66,20,20,45,53,1,,1,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",14-04-2021,14.09,,1.4,,,73,67,10,360,38.9,44.1,1,,1,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",15-04-2021,11.18,,0.68,,,74,68,10,340,36,44.1,1,,1,1
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",16-04-2021,12.08,,0.85,,,,62,10,310,38,44.1,1,,1,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",17-04-2021,14.76,,0.78,,,74,63,10,360,23.9,27.1,1,,1,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",18-04-2021,14.99,,0,,,76,59,360,10,25.9,29.1,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",19-04-2021,10.96,,0,,,77,61,10,360,28,31.1,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",20-04-2021,7.38,,0,,,81,71,30,260,15,17,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",21-04-2021,17.9,,0,,,75,57,360,20,25.9,32,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",22-04-2021,13.42,,0,,,69,59,60,60,21.9,25.1,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",23-04-2021,14.54,,0,,,79,62,160,160,29.1,38,,,1,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",24-04-2021,18.79,,0.08,,,86,69,190,180,31.1,42.9,,,1,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",25-04-2021,10.07,,0,,,76,62,20,20,23.9,29.1,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",26-04-2021,8.28,,0,,,81,64,140,110,17,21,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",27-04-2021,11.41,,0,,,87,71,150,160,19.9,25.9,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",28-04-2021,13.2,,0,,,87,75,170,170,21,28,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",29-04-2021,9.4,,0,,,88,75,150,150,18.1,23.9,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",30-04-2021,7.38,,0,,,82,73,40,40,23,23.9,1,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",01-05-2021,12.53,,0,,,80,71,50,60,21.9,25.1,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",02-05-2021,13.2,,0.25,,,81,71,150,150,25.9,38,1,,1,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",03-05-2021,14.76,,0.05,,,88,75,180,170,23.9,31.1,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",04-05-2021,13.87,,2.11,,,88,72,200,220,29.1,36,1,,1,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",05-05-2021,11.86,,1.39,,,78,71,20,20,21.9,25.1,1,,1,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",06-05-2021,12.3,,0,,,81,69,30,40,19.9,21.9,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",07-05-2021,8.5,,0,,,84,65,320,320,18.1,21.9,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",08-05-2021,10.29,,0,,,86,68,150,180,17,23.9,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",09-05-2021,12.75,,0,,,86,70,180,180,23.9,28,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",10-05-2021,8.95,,2.78,,,82,71,250,260,33.1,40,1,,1,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",11-05-2021,9.84,,0.7,,,79,71,20,360,25.1,28,1,,1,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",12-05-2021,12.08,,1.16,,,81,70,20,340,23.9,32,1,,1,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",13-05-2021,13.42,,0,,,79,68,40,40,19.9,23,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",14-05-2021,9.4,,0,,,80,69,70,50,17,19.9,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",15-05-2021,9.17,,0,,,81,67,100,100,16.1,21,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",16-05-2021,11.18,,0,,,82,68,110,110,19.9,25.9,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",17-05-2021,12.08,,0.56,,,78,72,120,120,21,29.1,1,,1,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",18-05-2021,12.3,,1.55,,,81,69,120,120,23,33.1,1,,1,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",19-05-2021,17.45,,0.49,,,81,74,80,110,35.1,45,1,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",20-05-2021,21.25,,0.08,,,80,75,100,100,33.1,45,1,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",21-05-2021,20.8,,0.57,,,80,74,100,100,31.1,40.9,1,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",22-05-2021,14.54,,0,,,81,74,80,100,23.9,31.1,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",23-05-2021,9.4,,0,,,84,72,100,90,18.1,25.1,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",24-05-2021,7.61,,0,,,83,73,100,150,14.1,21,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",25-05-2021,8.5,,0,,,87,72,130,120,18.1,23.9,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",26-05-2021,5.82,,0,,,90,73,150,150,13,16.1,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",27-05-2021,7.61,,0,,,89,76,180,180,16.1,18.1,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",28-05-2021,11.41,,0,,,89,76,310,310,23.9,27.1,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",29-05-2021,10.29,,0,,,82,76,30,30,23,25.9,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",30-05-2021,12.08,,0,,,82,66,30,50,23,25.9,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",31-05-2021,10.96,,0,,,86,72,100,100,18.1,23,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",01-06-2021,10.51,,0,,,88,74,180,110,19.9,27.1,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",02-06-2021,7.61,,0.42,,,85,76,210,200,33.1,44.1,,,1,1
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",03-06-2021,5.37,,0.35,,,87,75,160,160,19.9,25.9,1,,1,1
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",04-06-2021,5.14,,0.17,,,85,75,140,140,23,28,1,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",05-06-2021,11.41,,0.38,,,78,72,120,120,23,30,1,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",06-06-2021,11.63,,0.43,,,84,75,150,160,28,36,1,,1,1
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",07-06-2021,12.08,,0,,,91,75,170,150,21.9,25.1,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",08-06-2021,10.51,,0,,,91,80,170,150,19.9,29.1,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",09-06-2021,8.05,,0,,,90,79,150,140,23,29.1,1,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",10-06-2021,8.5,,0,,,92,77,210,200,18.1,21,,,1,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",11-06-2021,9.4,,0,,,92,80,210,220,17,21,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",12-06-2021,8.95,,0,,,91,80,260,310,15,17,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",13-06-2021,13.2,,0.24,,,94,76,40,30,35.1,40.9,1,,1,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",14-06-2021,6.71,,0,,,94,77,20,20,16.1,18.1,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",15-06-2021,7.61,,0,,,94,82,210,110,15,23,,,1,1
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",16-06-2021,8.95,,0,,,93,83,40,30,23,25.9,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",17-06-2021,13.65,,0,,,90,81,60,80,19.9,23.9,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",18-06-2021,15.43,,2.08,,,83,74,90,100,35.1,44.1,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",19-06-2021,15.66,,0.02,,,88,77,280,280,29.1,33.1,1,,,1
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",20-06-2021,12.53,,0.03,,,89,78,210,210,29.1,34,1,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",21-06-2021,11.41,,4.17,,,90,75,270,260,33.1,44.1,1,1,1,1
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",22-06-2021,5.37,,0.07,,,88,77,190,190,16.1,19,1,,1,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",23-06-2021,6.04,,0.35,,,89,79,230,230,14.1,17,1,,1,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",24-06-2021,5.59,,0.9,,,92,78,130,140,19.9,23,1,1,1,1
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",25-06-2021,7.38,,1.08,,,86,75,30,30,19.9,23.9,1,,1,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",26-06-2021,10.96,,0,,,90,79,110,120,19.9,23.9,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",27-06-2021,10.51,,0.81,,,87,77,140,140,23.9,29.1,1,,1,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",28-06-2021,10.51,,0.25,,,88,77,140,140,28,35.1,,,1,1
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",29-06-2021,7.83,,0.1,,,87,78,140,140,21.9,30,1,,1,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",30-06-2021,8.05,,0,,,89,79,120,120,17,19.9,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",01-07-2021,5.59,,0.38,,,88,77,90,90,15,18.1,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",02-07-2021,9.17,,0.39,,,89,78,290,290,36.9,44.1,1,,1,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",03-07-2021,10.51,,0.06,,,85,78,290,280,17,19.9,1,,1,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",04-07-2021,6.93,,0,,,88,77,230,230,19.9,23,1,,1,1
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",05-07-2021,6.49,,0.02,,,89,77,170,170,19.9,23.9,,,1,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",06-07-2021,6.49,,0.04,,,89,79,220,190,13,16.1,1,,1,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",07-07-2021,5.82,,0.05,,,87,78,340,350,18.1,21.9,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",08-07-2021,6.26,,0,,,91,79,180,180,19.9,21.9,,,1,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",09-07-2021,7.38,,0.19,,,86,79,210,210,31.1,36.9,,,1,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",10-07-2021,6.71,,0.91,,,88,78,310,300,32,40,1,1,1,1
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",11-07-2021,9.62,,1.23,,,88,74,320,310,40,46.1,1,1,1,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",12-07-2021,8.05,,0.03,,,90,77,310,300,36,40.9,,,1,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",13-07-2021,6.93,,0,,,91,77,110,120,15,19,,,,
